Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2020-08-28,GOOGL,81.48281860351562,81.57824696115934,80.7959437444367,80.98779395212267,22418000.0,0,1,1,0.006699284751697121,0
2020-08-29,GOOGL,,,,,,1,1,0,,1
2020-08-30,GOOGL,,,,,,1,0,1,,1
2020-08-31,GOOGL,80.99077606201172,81.73481087660946,80.78202889543032,81.68858693545364,26422000.0,0,0,1,-0.006038604824142313,0
2020-09-01,GOOGL,82.26065826416016,82.4664249577618,80.99077774508915,81.12149404801256,22652000.0,0,0,0,0.015679343548654634,0
2020-09-02,GOOGL,85.35757446289062,85.79047925211977,82.5146242032786,82.90329204153242,49522000.0,0,0,0,0.0376475980630433,0
2020-09-03,GOOGL,80.98978424072266,84.49327086398299,79.90627835306806,84.46941187762093,63726000.0,0,0,0,-0.05117050536700607,0
2020-09-04,GOOGL,78.58917999267578,81.2621448425601,76.44006626022279,79.97039232888137,55850000.0,0,1,0,-0.029640827797634994,0
2020-09-05,GOOGL,,,,,,1,1,0,,1
2020-09-06,GOOGL,,,,,,1,1,1,,1
2020-09-07,GOOGL,,,,,,1,0,1,,0
2020-09-08,GOOGL,75.72584533691406,77.31381773144133,75.37295836929073,75.79542772130176,54032000.0,0,0,1,-0.03643420959511945,0
2020-09-09,GOOGL,76.90031433105469,77.47138290670897,75.80388541753454,76.98331266428126,39242000.0,0,0,0,0.015509486740164613,0
2020-09-10,GOOGL,75.84761047363281,78.2139195980951,75.54691599071744,77.04692255801713,33024000.0,0,0,0,-0.013689200968542203,0
2020-09-11,GOOGL,75.336181640625,76.47633921675812,74.20595898773026,75.95198761927614,30706000.0,0,1,0,-0.006742847003540109,0
2020-09-12,GOOGL,,,,,,1,1,0,,1
2020-09-13,GOOGL,,,,,,1,0,1,,1
2020-09-14,GOOGL,74.99174499511719,77.385887124181,74.80685682751938,76.12594164505171,42660000.0,0,0,1,-0.004571994996386608,0
